opcode_hex,mnemonic,cpu_level
0x06F5,CALLM,2
0x06F6,CALLM,2
0x06F7,CALLM,2
0x06F8,CALLM,2
0x06F9,CALLM,2
0x06FA,CALLM,2
0x06FB,CALLM,2
0x0708,MVPMR,0
0x0709,MVPMR,0
0x070A,MVPMR,0
0x070B,MVPMR,0
0x070C,MVPMR,0
0x070D,MVPMR,0
0x070E,MVPMR,0
0x070F,MVPMR,0
0x0748,MVPMR,0
0x0749,MVPMR,0
0x074A,MVPMR,0
0x074B,MVPMR,0
0x074C,MVPMR,0
0x074D,MVPMR,0
0x074E,MVPMR,0
0x074F,MVPMR,0
0x0788,MVPRM,0
0x0789,MVPRM,0
0x078A,MVPRM,0
0x078B,MVPRM,0
0x078C,MVPRM,0
0x078D,MVPRM,0
0x078E,MVPRM,0
0x078F,MVPRM,0
0x07C8,MVPRM,0
0x07C9,MVPRM,0
0x07CA,MVPRM,0
0x07CB,MVPRM,0
0x07CC,MVPRM,0
0x07CD,MVPRM,0
0x07CE,MVPRM,0
0x07CF,MVPRM,0
0x0908,MVPMR,0
0x0909,MVPMR,0
0x090A,MVPMR,0
0x090B,MVPMR,0
0x090C,MVPMR,0
0x090D,MVPMR,0
0x090E,MVPMR,0
0x090F,MVPMR,0
0x0948,MVPMR,0
0x0949,MVPMR,0
0x094A,MVPMR,0
0x094B,MVPMR,0
0x094C,MVPMR,0
0x094D,MVPMR,0
0x094E,MVPMR,0
0x094F,MVPMR,0
0x0988,MVPRM,0
0x0989,MVPRM,0
0x098A,MVPRM,0
0x098B,MVPRM,0
0x098C,MVPRM,0
0x098D,MVPRM,0
0x098E,MVPRM,0
0x098F,MVPRM,0
0x09C8,MVPRM,0
0x09C9,MVPRM,0
0x09CA,MVPRM,0
0x09CB,MVPRM,0
0x09CC,MVPRM,0
0x09CD,MVPRM,0
0x09CE,MVPRM,0
0x09CF,MVPRM,0
0x0A7C,EORSR,0
0x0AD0,CAS,2
0x0AD1,CAS,2
0x0AD2,CAS,2
0x0AD3,CAS,2
0x0AD4,CAS,2
0x0AD5,CAS,2
0x0AD6,CAS,2
0x0AD7,CAS,2
0x0AD8,CAS,2
0x0AD9,CAS,2
0x0ADA,CAS,2
0x0ADB,CAS,2
0x0ADC,CAS,2
0x0ADD,CAS,2
0x0ADE,CAS,2
0x0ADF,CAS,2
0x0AE0,CAS,2
0x0AE1,CAS,2
0x0AE2,CAS,2
0x0AE3,CAS,2
0x0AE4,CAS,2
0x0AE5,CAS,2
0x0AE6,CAS,2
0x0AE7,CAS,2
0x0AE8,CAS,2
0x0AE9,CAS,2
0x0AEA,CAS,2
0x0AEB,CAS,2
0x0AEC,CAS,2
0x0AED,CAS,2
0x0AEE,CAS,2
0x0AEF,CAS,2
0x0AF0,CAS,2
0x0AF1,CAS,2
0x0AF2,CAS,2
0x0AF3,CAS,2
0x0AF4,CAS,2
0x0AF5,CAS,2
